Degree	PDF	Pos_PDF	Neg_PDF	CCDF	Pos_CCDF	Neg_CCDF
0	0	5	65	150	150	150
1	8	17	33	150	145	85
2	7	7	16	142	128	52
3	11	9	11	135	121	36
4	13	11	6	124	112	25
5	4	3	9	111	101	19
6	7	10	3	107	98	10
7	7	3	2	100	88	7
8	6	1	2	93	85	5
9	2	5	0	87	84	3
10	3	4	1	85	79	3
11	7	4	1	82	75	2
12	0	2	0	75	71	1
13	1	2	0	75	69	1
14	5	4	1	74	67	1
15	6	3	0	69	63	0
16	4	5	0	63	60	0
17	5	5	0	59	55	0
18	2	3	0	54	50	0
19	2	1	0	52	47	0
20	2	1	0	50	46	0
21	1	4	0	48	45	0
22	0	2	0	47	41	0
23	3	2	0	47	39	0
24	4	4	0	44	37	0
25	4	4	0	40	33	0
26	4	2	0	36	29	0
27	1	0	0	32	27	0
28	1	2	0	31	27	0
29	2	2	0	30	25	0
30	3	1	0	28	23	0
31	1	1	0	25	22	0
32	0	1	0	24	21	0
33	2	5	0	24	20	0
34	3	3	0	22	15	0
35	2	0	0	19	12	0
36	4	2	0	17	12	0
37	1	0	0	13	10	0
38	0	2	0	12	10	0
39	4	1	0	12	8	0
40	1	2	0	8	7	0
41	2	1	0	7	5	0
42	0	0	0	5	4	0
43	1	0	0	5	4	0
44	0	1	0	4	4	0
45	0	0	0	4	3	0
46	0	1	0	4	3	0
47	1	0	0	4	2	0
48	0	0	0	3	2	0
49	1	1	0	3	2	0
50	1	0	0	2	1	0
51	1	1	0	1	1	0
