Index	Name	Info	Degree	Degree_Pos	Degree_Neg	Strength	Strength_Pos	Strength_Neg	Min_Value	Min_Value_Pos	Min_Value_Neg	Max_Value	Max_Value_Pos	Max_Value_Neg	Average_Value	Average_Value_Pos	Average_Value_Neg	Entropy	Clustering	Clustering_Pos	Clustering_Neg	Clustering_Weighted	Clustering_Weighted_Pos	Clustering_Weighted_Neg	Betweenness
1	1		1	1	0	308	308	0	308	308	0	308	308	0	3.08000000000000E+2	3.08000000000000E+2	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000
2	2		2	2	0	746	746	0	324	324	0	422	422	0	3.73000000000000E+2	3.73000000000000E+2	0.00000000000000	1.00000000000000E+0	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	4.62441465344691E+0
3	3		6	6	0	2062	2062	0	311	311	0	401	401	0	3.43666666666667E+2	3.43666666666667E+2	0.00000000000000	2.58496250072116E+0	2.66666666666667E-1	2.66666666666667E-1	0.00000000000000	1.51667630620124E+2	1.51667630620124E+2	0.00000000000000	1.87102490613212E+2
4	4		1	0	1	-314	0	314	-314	0	314	-314	0	314	-3.14000000000000E+2	0.00000000000000	3.14000000000000E+2	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000
5	5		9	1	8	-2418	442	2860	-461	442	312	442	442	461	-2.68666666666667E+2	4.42000000000000E+2	3.57500000000000E+2	3.16992500144231E+0	1.66666666666667E-1	0.00000000000000	0.00000000000000	1.30954993777063E+2	0.00000000000000	0.00000000000000	3.08098955308459E+2
6	6		10	9	1	2596	3048	452	-452	311	452	409	409	452	2.59600000000000E+2	3.38666666666667E+2	4.52000000000000E+2	3.32192809488736E+0	4.88888888888889E-1	6.11111111111111E-1	0.00000000000000	4.76978804986146E+2	3.17682971539277E+2	0.00000000000000	1.72628478804921E+2
7	7		3	1	2	-258	521	779	-452	521	327	521	521	452	-8.60000000000000E+1	5.21000000000000E+2	3.89500000000000E+2	1.58496250072116E+0	0.00000000000000	0.00000000000000	0.00000000000000	-0.00000000000000	0.00000000000000	0.00000000000000	1.57988548057994E+1
8	8		3	2	1	310	680	370	-370	322	370	358	358	370	1.03333333333333E+2	3.40000000000000E+2	3.70000000000000E+2	1.58496250072116E+0	0.00000000000000	0.00000000000000	0.00000000000000	-0.00000000000000	0.00000000000000	0.00000000000000	1.92591500572858E+1
9	9		33	33	0	12091	12091	0	308	308	0	492	492	0	3.66393939393939E+2	3.66393939393939E+2	0.00000000000000	5.04439411935845E+0	6.21212121212121E-1	6.21212121212121E-1	0.00000000000000	3.19452432972168E+2	3.19452432972168E+2	0.00000000000000	7.85128026462758E+1
10	10		11	6	5	134	2147	2013	-530	314	314	409	409	530	1.21818181818182E+1	3.57833333333333E+2	4.02600000000000E+2	3.45943161863730E+0	2.00000000000000E-1	2.00000000000000E-1	0.00000000000000	-1.14605798283074E+3	7.96508002778492E+1	0.00000000000000	1.66920527264478E+2
11	11		10	10	0	3563	3563	0	312	312	0	412	412	0	3.56300000000000E+2	3.56300000000000E+2	0.00000000000000	3.32192809488736E+0	2.66666666666667E-1	2.66666666666667E-1	0.00000000000000	1.07410967885266E+2	1.07410967885266E+2	0.00000000000000	9.69265560314736E+1
12	12		4	4	0	1524	1524	0	329	329	0	413	413	0	3.81000000000000E+2	3.81000000000000E+2	0.00000000000000	2.00000000000000E+0	3.33333333333333E-1	3.33333333333333E-1	0.00000000000000	1.35790936227701E+2	1.35790936227701E+2	0.00000000000000	2.07054900613062E+1
13	13		40	40	0	20568	20568	0	311	311	0	909	909	0	5.14200000000000E+2	5.14200000000000E+2	0.00000000000000	5.32192809488736E+0	5.57692307692308E-1	5.57692307692308E-1	0.00000000000000	3.18854331036615E+2	3.18854331036615E+2	0.00000000000000	2.06483980880150E+2
14	14		2	1	1	-60	401	461	-461	401	461	401	401	461	-3.00000000000000E+1	4.01000000000000E+2	4.61000000000000E+2	1.00000000000000E+0	0.00000000000000	0.00000000000000	0.00000000000000	-0.00000000000000	0.00000000000000	0.00000000000000	2.57314439946019E+0
15	15		36	33	3	13192	14234	1042	-386	308	309	695	695	386	3.66444444444444E+2	4.31333333333333E+2	3.47333333333333E+2	5.16992500144231E+0	5.82539682539683E-1	6.38257575757576E-1	0.00000000000000	4.46721155372148E+2	3.60316804426759E+2	0.00000000000000	3.58494944593841E+2
16	16		16	16	0	6235	6235	0	310	310	0	563	563	0	3.89687500000000E+2	3.89687500000000E+2	0.00000000000000	4.00000000000000E+0	4.75000000000000E-1	4.75000000000000E-1	0.00000000000000	2.20368302221204E+2	2.20368302221204E+2	0.00000000000000	6.58403146339378E+1
17	17		23	23	0	8441	8441	0	315	315	0	501	501	0	3.67000000000000E+2	3.67000000000000E+2	0.00000000000000	4.52356195605701E+0	6.56126482213439E-1	6.56126482213439E-1	0.00000000000000	3.34352348437418E+2	3.34352348437418E+2	0.00000000000000	3.55406581928773E+1
18	18		4	3	1	781	1120	339	-339	323	339	406	406	339	1.95250000000000E+2	3.73333333333333E+2	3.39000000000000E+2	2.00000000000000E+0	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	3.89160866019883E+2
19	19		17	17	0	6270	6270	0	308	308	0	484	484	0	3.68823529411765E+2	3.68823529411765E+2	0.00000000000000	4.08746284125034E+0	6.76470588235294E-1	6.76470588235294E-1	0.00000000000000	3.37062030510450E+2	3.37062030510450E+2	0.00000000000000	4.40617744303802E+1
20	20		34	34	0	14828	14828	0	307	307	0	667	667	0	4.36117647058824E+2	4.36117647058824E+2	0.00000000000000	5.08746284125034E+0	6.02495543672014E-1	6.02495543672014E-1	0.00000000000000	3.37654777369091E+2	3.37654777369091E+2	0.00000000000000	2.31404551991983E+2
21	21		41	40	1	19920	20235	315	-315	309	315	838	838	315	4.85853658536585E+2	5.05875000000000E+2	3.15000000000000E+2	5.35755200461808E+0	5.82926829268293E-1	6.07692307692308E-1	0.00000000000000	3.57840186511035E+2	3.45093918276829E+2	0.00000000000000	2.55003849603557E+2
22	22		30	29	1	11868	12182	314	-314	312	314	696	696	314	3.95600000000000E+2	4.20068965517241E+2	3.14000000000000E+2	4.90689059560852E+0	6.09195402298851E-1	6.45320197044335E-1	0.00000000000000	3.77340020311778E+2	3.55073696360830E+2	0.00000000000000	1.85275737093499E+2
23	23		1	1	0	391	391	0	391	391	0	391	391	0	3.91000000000000E+2	3.91000000000000E+2	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000
24	24		30	30	0	14011	14011	0	308	308	0	786	786	0	4.67033333333333E+2	4.67033333333333E+2	0.00000000000000	4.90689059560852E+0	6.16091954022989E-1	6.16091954022989E-1	0.00000000000000	3.61066407843379E+2	3.61066407843379E+2	0.00000000000000	3.03611598627218E+2
25	25		29	22	7	8771	11450	2679	-445	312	311	927	927	445	3.02448275862069E+2	5.20454545454545E+2	3.82714285714286E+2	4.85798099512757E+0	4.03940886699507E-1	5.15151515151515E-1	0.00000000000000	6.50441435488230E+2	2.94718763529898E+2	0.00000000000000	3.77528394508981E+2
26	26		14	13	1	4382	4694	312	-312	309	312	435	435	312	3.13000000000000E+2	3.61076923076923E+2	3.12000000000000E+2	3.80735492205760E+0	2.96703296703297E-1	3.33333333333333E-1	0.00000000000000	1.71502956423375E+2	1.42322186331428E+2	0.00000000000000	3.50908991788805E+2
27	27		37	32	5	12458	14378	1920	-495	319	320	720	720	495	3.36702702702703E+2	4.49312500000000E+2	3.84000000000000E+2	5.20945336562895E+0	5.75075075075075E-1	6.97580645161290E-1	0.00000000000000	5.54950836324193E+2	3.80386245237214E+2	0.00000000000000	2.94786517558417E+2
28	28		4	4	0	1714	1714	0	322	322	0	568	568	0	4.28500000000000E+2	4.28500000000000E+2	0.00000000000000	2.00000000000000E+0	5.00000000000000E-1	5.00000000000000E-1	0.00000000000000	2.66235149828370E+2	2.66235149828370E+2	0.00000000000000	7.81370085852844E+0
29	29		4	4	0	1408	1408	0	315	315	0	401	401	0	3.52000000000000E+2	3.52000000000000E+2	0.00000000000000	2.00000000000000E+0	3.33333333333333E-1	3.33333333333333E-1	0.00000000000000	1.01824535649039E+2	1.01824535649039E+2	0.00000000000000	2.09189297484795E+1
30	31		3	3	0	1013	1013	0	307	307	0	376	376	0	3.37666666666667E+2	3.37666666666667E+2	0.00000000000000	1.58496250072116E+0	6.66666666666667E-1	6.66666666666667E-1	0.00000000000000	2.12776540246815E+2	2.12776540246815E+2	0.00000000000000	3.89124395870312E+0
31	33		36	29	7	8877	11710	2833	-456	308	318	670	670	456	2.46583333333333E+2	4.03793103448276E+2	4.04714285714286E+2	5.16992500144231E+0	4.28571428571429E-1	5.61576354679803E-1	0.00000000000000	6.41317859359268E+2	3.00568351345158E+2	0.00000000000000	6.19602173104279E+2
32	34		6	4	2	912	1572	660	-331	345	329	501	501	331	1.52000000000000E+2	3.93000000000000E+2	3.30000000000000E+2	2.58496250072116E+0	1.33333333333333E-1	1.66666666666667E-1	0.00000000000000	-1.06549065334828E+4	5.17719757077089E+1	0.00000000000000	2.83045981502670E+2
33	35		24	24	0	10436	10436	0	317	317	0	735	735	0	4.34833333333333E+2	4.34833333333333E+2	0.00000000000000	4.58496250072116E+0	3.69565217391304E-1	3.69565217391304E-1	0.00000000000000	2.17620532922252E+2	2.17620532922252E+2	0.00000000000000	4.59083438393588E+2
34	36		11	10	1	3839	4184	345	-345	337	345	591	591	345	3.49000000000000E+2	4.18400000000000E+2	3.45000000000000E+2	3.45943161863730E+0	7.63636363636364E-1	9.33333333333333E-1	0.00000000000000	6.29203498074009E+2	5.13523674721376E+2	0.00000000000000	6.19880319049680E+1
35	37		1	1	0	425	425	0	425	425	0	425	425	0	4.25000000000000E+2	4.25000000000000E+2	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000
36	38		24	24	0	10661	10661	0	320	320	0	639	639	0	4.44208333333333E+2	4.44208333333333E+2	0.00000000000000	4.58496250072116E+0	5.86956521739130E-1	5.86956521739130E-1	0.00000000000000	3.36407227417101E+2	3.36407227417101E+2	0.00000000000000	1.25225140295004E+2
37	40		2	2	0	664	664	0	328	328	0	336	336	0	3.32000000000000E+2	3.32000000000000E+2	0.00000000000000	1.00000000000000E+0	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	1.26686829364680E+1
38	41		49	44	5	21108	23185	2077	-534	311	318	1103	1103	534	4.30775510204082E+2	5.26931818181818E+2	4.15400000000000E+2	5.61470984411521E+0	4.67687074829932E-1	5.35940803382664E-1	0.00000000000000	3.90228948190865E+2	3.03209500339551E+2	0.00000000000000	7.16951379688423E+2
39	42		17	14	3	4345	5385	1040	-370	311	318	451	451	370	2.55588235294118E+2	3.84642857142857E+2	3.46666666666667E+2	4.08746284125034E+0	4.33823529411765E-1	5.71428571428571E-1	0.00000000000000	5.23337051118572E+2	2.90968082036998E+2	0.00000000000000	2.39136814126762E+2
40	43		33	33	0	14238	14238	0	317	317	0	758	758	0	4.31454545454545E+2	4.31454545454545E+2	0.00000000000000	5.04439411935845E+0	5.11363636363636E-1	5.11363636363636E-1	0.00000000000000	3.04392619984486E+2	3.04392619984486E+2	0.00000000000000	5.35111067533622E+2
41	44		24	21	3	8618	9696	1078	-410	309	322	888	888	410	3.59083333333333E+2	4.61714285714286E+2	3.59333333333333E+2	4.58496250072116E+0	3.26086956521739E-1	3.90476190476190E-1	0.00000000000000	3.51850119939838E+2	2.58767713963091E+2	0.00000000000000	5.42054532173326E+2
42	45		25	21	4	8587	10015	1428	-394	316	337	750	750	394	3.43480000000000E+2	4.76904761904762E+2	3.57000000000000E+2	4.64385618977472E+0	4.40000000000000E-1	5.19047619047619E-1	0.00000000000000	4.78663002992761E+2	3.01828529799739E+2	0.00000000000000	4.02411857852197E+2
43	46		39	38	1	17993	18388	395	-395	312	395	744	744	395	4.61358974358974E+2	4.83894736842105E+2	3.95000000000000E+2	5.28540221886225E+0	5.78947368421053E-1	6.07396870554765E-1	0.00000000000000	3.53852956538205E+2	3.37619290887810E+2	0.00000000000000	3.48718898182434E+2
44	47		11	9	2	2611	3283	672	-346	309	326	521	521	346	2.37363636363636E+2	3.64777777777778E+2	3.36000000000000E+2	3.45943161863730E+0	1.63636363636364E-1	2.22222222222222E-1	0.00000000000000	1.66133505599908E+2	8.33807857802335E+1	0.00000000000000	2.64519819008287E+2
45	48		1	1	0	349	349	0	349	349	0	349	349	0	3.49000000000000E+2	3.49000000000000E+2	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000
46	49		15	12	3	3276	4328	1052	-382	312	315	466	466	382	2.18400000000000E+2	3.60666666666667E+2	3.50666666666667E+2	3.90689059560852E+0	1.80952380952381E-1	2.42424242424242E-1	0.00000000000000	2.36782692687834E+2	1.07488162486248E+2	0.00000000000000	8.86825599953157E+2
